item_number,description,fee
14217,"Repetitive Transcranial Magnetic Stimulation (rTMS) treatment of up to 35 services provided by, or on behalf of, a psychiatrist who has undertaken training in rTMS, if the patient has previously received a service under item 14216—each service up to 35 services",184.00
14218,"Implanted infusion pump, refilling of reservoir with a therapeutic agent or agents for infusion to the subarachnoid space or accessing the side port to assess catheter patency, with or without pump reprogramming, for the management of chronic pain, including cancer pain",117.25
14219,"Professional attendance on a patient by a psychiatrist, who has undertaken training in Repetitive Transcranial Magnetic Stimulation (rTMS), for treatment mapping for rTMS, if the patient: (a) is at least 18 years old; and (b) is diagnosed with a major depressive episode; and (c) has failed to receive satisfactory improvement for the major depressive episode despite the adequate trialling of at least 2 different classes of antidepressant medications, unless contraindicated, and all of the following apply: (i) the patient’s adherence to antidepressant treatment has been formally assessed; (ii) the trialling of each antidepressant medication has been at the recommended therapeutic dose for a minimum of 3 weeks; (iii) where clinically appropriate, the treatment has been titrated to the maximum tolerated therapeutic dose; and (d) has undertaken psychological therapy, if clinically appropriate; and (e) has previously received an initial service under item 14217 and the patient: (i) has relapsed after a remission following the initial service; and (ii) has had a satisfactory clinical response to the service under item 14217 (which has been assessed by a validated major depressive disorder tool at least 4 months after receiving that service)",214.45
14220,"Repetitive Transcranial Magnetic Stimulation (rTMS) treatment of up to 15 services provided by, or on behalf of, a psychiatrist who has undertaken training in rTMS, if the patient has previously received: (a) a service under item 14217 (which was not provided in the previous 4 months); and (b) a service under item 14219 Each service up to 15 services",184.00
14221,"LONG-TERM IMPLANTED DEVICE FOR DELIVERY OF THERAPEUTIC AGENTS, accessing of, not being a service associated with a service to which item 13950 applies",62.85
14224,"Electroconvulsive therapy, with or without the use of stimulus dosing techniques, including any electroencephalographic monitoring and associated consultation (H) (Anaes.)",184.00
14227,"IMPLANTED INFUSION PUMP, REFILLING of reservoir, with baclofen, for infusion to the subarachnoid or epidural space, with or without re-programming of a programmable pump, for the management of severe chronic spasticity",117.25
14234,"Infusion pump or components of an infusion pump, removal or replacement of, and connection to intrathecal or epidural catheter, and loading of reservoir with baclofen, with or without programming of the pump, for the management of severe chronic spasticity (Anaes.)",433.15
14237,"Infusion pump or components of an infusion pump, subcutaneous implantation of, and intrathecal or epidural spinal catheter insertion, and connection of pump to catheter, and loading of reservoir with baclofen, with or without programming of the pump, for the management of severe chronic spasticity (Anaes.)",789.80
14245,"IMMUNOMODULATING AGENT, administration of, by intravenous infusion for at least 2 hours duration - payable once only on the same day and where the agent is provided under section 100 of the Pharmaceutical Benefits Scheme",117.25
14247,"Extracorporeal photopheresis for the treatment of erythrodermic stage III‑IVa T4 M0 cutaneous T‑cell lymphoma; if (a) the service is provided in the initial six months of treatment; and (b) the service is delivered using an integrated, closed extracorporeal photopheresis system; and (c) the patient is 18 years old or over; and (d) the patient has received prior systemic treatment for this condition and experienced either disease progression or unacceptable toxicity while on this treatment; and (e) the service is provided in combination with the use of Pharmaceutical Benefits Scheme‑subsidised methoxsalen; and (f) the service is supervised by a specialist or consultant physician in the speciality of haematology. Applicable once per treatment cycle (H)",2215.00
14249,"Extracorporeal photopheresis for the continuing treatment of erythrodermic stage III‑IVa T4 M0 cutaneous T‑cell lymphoma; if (a) in the preceding 6 months: (i) a service to which item 14247 applies has been provided; and (ii) the patient has demonstrated a response to this service; and (iii) the patient requires further treatment; and (b) the service is delivered using an integrated, closed extracorporeal photopheresis system; and (c) the patient is 18 years old or over; and (d) the service is provided in combination with the use of Pharmaceutical Benefits Scheme‑subsidised methoxsalen; and (e) the service is supervised by a specialist or consultant physician in the speciality of haematology. Applicable once per treatment cycle (H)",2215.00
14255,"Resuscitation of a patient provided for at least 30 minutes but less than 1 hour, by a specialist in the practice of the specialist’s specialty of emergency medicine at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the specialist described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017 or 5019 (Anaes.)",177.55
14256,"Resuscitation of a patient provided for at least 1 hour but less than 2 hours, by a specialist in the practice of the specialist’s specialty of emergency medicine at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the specialist described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017 or 5019 (Anaes.)",341.50
14257,"Resuscitation of a patient provided for at least 2 hours, by a specialist in the practice of the specialist’s specialty of emergency medicine at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the specialist described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017 or 5019 (Anaes.)",680.15
14258,"Resuscitation of a patient provided for at least 30 minutes but less than 1 hour, by a medical practitioner (except a specialist in the practice of the specialist’s specialty of emergency medicine) at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the practitioner described in item 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036 (Anaes.)",133.30
14259,"Resuscitation of a patient provided for at least 1 hour but less than 2 hours, by a medical practitioner (except a specialist in the practice of the specialist’s specialty of emergency medicine) at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the practitioner described in item 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036 (Anaes.)",256.15
14260,"Resuscitation of a patient provided for at least 2 hours, by a medical practitioner (except a specialist in the practice of the specialist’s specialty of emergency medicine) at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the practitioner described in item 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036 (Anaes.)",510.10
14263,"Minor procedure on a patient by a specialist in the practice of the specialist’s specialty of emergency medicine at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the specialist described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017 or 5019 (Anaes.)",62.55
14264,"Procedure (except a minor procedure) on a patient by a specialist in the practice of the specialist’s specialty of emergency medicine at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the specialist described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017 or 5019 (Anaes.)",140.70
14265,"Minor procedure on a patient by a medical practitioner (except a specialist in the practice of the specialist’s specialty of emergency medicine) at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the practitioner described in item 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036 (Anaes.)",46.85
14266,"Procedure (except a minor procedure) on a patient by a medical practitioner (except a specialist in the practice of the specialist’s specialty of emergency medicine) at a recognised emergency department of a private hospital, in conjunction with an attendance on the patient by the practitioner described in item 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036 (Anaes.)",105.50
14270,"Management, without aftercare, of all fractures and dislocations suffered by a patient that: (a) is provided by a specialist in the practice of the specialist's specialty of emergency medicine in conjunction with an attendance on the patient by the specialist described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017 or 5019; and (b) occurs at a recognised emergency department of a private hospital (Anaes.)",157.75
14272,"Management, without aftercare, of all fractures and dislocations suffered by a patient that: (a) is provided by a medical practitioner (except a specialist in the practice of the specialist's specialty of emergency medicine) in conjunction with an attendance on the patient by the practitioner described in item 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036; and (b) occurs at a recognised emergency department of a private hospital (Anaes.)",118.35
14277,Application of chemical or physical restraint of a patient by a specialist in the practice of the specialist’s specialty of emergency medicine at a recognised emergency department of a private hospital,177.55
14278,Application of chemical or physical restraint of a patient by a medical practitioner (except a specialist in the practice of the specialist’s specialty of emergency medicine) at a recognised emergency department of a private hospital,133.30
14280,"Anaesthesia (whether general anaesthesia or not) of a patient that: (a) is managed by a specialist in the practice of the specialist’s specialty of emergency medicine at a recognised emergency department of a private hospital; and (b) occurs in conjunction with an attendance on the patient that is described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017, 5019, 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036; and (c) is not anaesthesia provided by a specialist anaesthetist to which an item in Group T7 or T10 applies",177.55
14283,"Anaesthesia (whether general anaesthesia or not) of a patient that: (a) is managed by a medical practitioner (except a specialist in the practice of the specialist’s specialty of emergency medicine) at a recognised emergency department of a private hospital; and (b) occurs in conjunction with an attendance on the patient that is described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017, 5019, 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036; and (c) is not anaesthesia provided by a specialist anaesthetist to which an item in Group T7 or T10 applies",133.30
14285,"Emergent intubation, airway management or both of a patient that: (a) is managed by a specialist in the practice of the specialist’s specialty of emergency medicine at a recognised emergency department of a private hospital; and (b) occurs in conjunction with an attendance on the patient that is described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017, 5019, 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036; and (c) is not anaesthesia provided by a specialist anaesthetist to which an item in Group T7 or T10 applies",177.55
14288,"Emergent intubation, airway management or both of a patient that: (a) is managed by a medical practitioner (except a specialist in the practice of the specialist’s specialty of emergency medicine) at a recognised emergency department of a private hospital; and (b) occurs in conjunction with an attendance on the patient that is described in item 5001, 5004, 5011, 5012, 5013, 5014, 5016, 5017, 5019, 5021, 5022, 5027, 5030, 5031, 5032, 5033, 5035 or 5036; and (c) is not anaesthesia provided by a specialist anaesthetist to which an item in Group T7 or T10 applies",133.30
15900,"Breast, malignant tumour, targeted intraoperative radiation therapy, using an Intrabeam® or Xoft® Axxent® device, delivered at the time of breast‑conserving surgery (partial mastectomy or lumpectomy) for a patient who: (a) is 45 years of age or over; and (b) has a T1 or small T2 (less than or equal to 3 cm in diameter) primary tumour; and (c) has a histologic grade 1 or 2 tumour; and (d) has an oestrogen‑receptor positive tumour; and (e) has a node negative malignancy; and (f) is suitable for wide local excision of a primary invasive ductal carcinoma that was diagnosed as unifocal on conventional examination and imaging; and (g) has no contra‑indications to breast irradiation Applicable once per breast per lifetime (H)",299.20
15902,"Megavoltage planning—level 1.1 Simple complexity single‑field radiation therapy simulation and dosimetry for treatment planning, without imaging for field setting, if: (a) all of the following apply in relation to the simulation: (i) the simulation is to one site; (ii) localisation is based on clinical mark‑up and image‑based simulation is not required; (iii) patient set‑up and immobilisation techniques are suitable for two‑dimensional radiation therapy treatment, with wide margins and allowance for movement; and (b) all of the following apply in relation to the dosimetry: (i) the planning process is required to deliver a prescribed dose to a point, either at depth or on the surface of the patient; (ii) based on review and assessment by a radiation oncologist, the planning process does not require the differential of dose between target, organs at risk and normal tissue dose; (iii) delineation of structures is not possible or required, and field borders will delineate the treatment volume; (iv) doses are calculated in reference to a point, either at depth or on the surface of the patient, from tables, charts or data from a treatment planning system Applicable once per course of treatment",762.15
15904,"Megavoltage planning—level 1.2 Simple complexity radiation therapy simulation and dosimetry for treatment planning, with imaging for field setting, if: (a) all of the following apply in relation to the simulation: (i) treatment set‑up and technique specifications are in preparation for two‑dimensional radiation therapy dose planning; (ii) patient set‑up and immobilisation techniques are suitable for two‑dimensional radiation therapy treatment where interfraction reproducibility is required; (iii) imaging datasets are acquired for the relevant region of interest to be planned; and (b) all of the following apply in relation to the dosimetry: (i) the two‑dimensional planning process is required to calculate dose to a volume, however a dose‑volume histogram is not required to complete the planning process; (ii) based on review and assessment by a radiation oncologist, the two‑dimensional planning process is not required to maximise the differential between target dose and normal tissue dose; (iii) the target (which may include gross, clinical and planning targets as a composite structure or field border outline), as defined in the prescription, is rendered as a two‑dimensional structure as field borders or a volume; (iv) organs at risk are delineated if required, and assessment of dose to these structures is derived from dose point calculations, rather than full calculation and inclusion in a dose‑volume histogram; (v) dose calculations are calculated using a specialised algorithm, with prescription and plan details approved and recorded with the plan Applicable once per course of treatment",1116.65
15906,"Megavoltage planning—level 2.1 Three‑dimensional radiation therapy simulation and dosimetry for treatment planning, without motion management, if: (a) all of the following apply in relation to the simulation: (i) treatment set‑up and technique specifications are in preparation for three‑dimensional planning without consideration of motion management; (ii) patient set‑up and immobilisation techniques are reproducible for treatment; (iii) a high‑quality dataset is acquired in treatment position for the relevant region of interest to be planned and treated with image verification; and (b) all of the following apply in relation to the dosimetry: (i) the three‑dimensional planning process is required to calculate dose to three‑dimensional volume structures and requires a dose‑volume histogram to complete the planning process; (ii) based on review and assessment by a radiation oncologist, the three‑dimensional planning process is required to optimise the differential between target dose and normal tissue dose; (iii) the planning target volume is rendered as a three‑dimensional structure on planning outputs (three‑dimensional plan review, three‑planar sections review or dose‑volume histogram); (iv) organs at risk are delineated, and assessment of dose to these structures is derived from calculation and inclusion in a dose‑volume histogram Applicable once per course of treatment",1721.70
15908,"Megavoltage planning—level 2.2 Three‑dimensional radiation therapy simulation and dosimetry for treatment planning with motion management, if: (a) all of the following apply in relation to the simulation: (i) treatment set‑up and technique specifications are in preparation for complex three‑dimensional planning with consideration of motion management; (ii) patient set‑up and immobilisation techniques are reproducible for treatment; (iii) a high‑quality three‑dimensional or four‑dimensional image volume dataset is acquired in treatment position for the relevant region of interest to be planned and treated with image verification; and (b) all of the following apply in relation to the dosimetry: (i) the three‑dimensional planning process is required to calculate dose to three‑dimensional volume structures (which must include structures moving with physiologic processes) and requires a dose‑volume histogram to complete the planning process; (ii) based on review and assessment by a radiation oncologist, the three‑dimensional planning process is required to optimise the differential between target dose and normal tissue dose; (iii) the planning target volume is rendered as a three‑dimensional structure on planning outputs (three‑dimensional plan review, three‑planar sections review or dose‑volume histogram); (iv) organs at risk are delineated, and assessment of dose to these structures is derived from full calculation and inclusion in a dose‑volume histogram Applicable once per course of treatment",2783.40
15910,"Megavoltage planning—level 3.1 Standard intensity modulated radiation therapy (IMRT) simulation and dosimetry for treatment planning, if: (a) all of the following apply in relation to the simulation: (i) treatment set‑up and technique specifications are in preparation for single‑dose level IMRT planning without motion management; (ii) patient set‑up and immobilisation techniques are suitable for image volume data acquisition and reproducible IMRT treatment; (iii) a high‑quality three‑dimensional image volume dataset is acquired in treatment position for the relevant region of interest to be planned and treated with image verification; and (b) all of the following apply in relation to the dosimetry: (i) the IMRT planning process is required to calculate dose to a single‑dose level volume structure and requires a dose‑volume histogram to complete the planning process; (ii) based on review and assessment by a radiation oncologist, the IMRT planning process optimises the differential between target dose, organs at risk and normal tissue dose; (iii) all relevant gross tumour volumes, clinical target volumes, planning target volumes and organs at risk are rendered as volumes and nominated with planning dose objectives; (iv) organs at risk are nominated as planning dose constraints; (v) dose calculations and dose‑volume histograms are generated in an inverse planned process using a specialised algorithm, with prescription and plan details approved and recorded with the plan; (vi) a three‑dimensional image volume dataset is used for the relevant region to be planned and treated with image verification Applicable once per course of treatment",4352.40
15912,"Megavoltage re‑planning—level 3.1 Additional dosimetry plan for re‑planning of standard intensity modulated radiation therapy (IMRT) treatment, if: (a) an initial treatment plan described in item 15910 or 15914 has been prepared; and (b) treatment adjustments to the initial plan are inadequate to satisfy treatment protocol requirements Applicable once per course of treatment",2176.20
15914,"Megavoltage planning—level 3.2 Complex intensity modulated radiation therapy (IMRT) simulation and dosimetry for treatment planning, if (a) all of the following apply in relation to the simulation: (i) treatment set‑up and technique specifications are in preparation for multiple‑dose level IMRT planning or single‑dose level IMRT planning requiring motion management; (ii) patient set‑up and immobilisation techniques are suitable for image volume data acquisition and reproducible IMRT treatment; (iii) a high‑quality three‑dimensional or four‑dimensional volume dataset is acquired in treatment position for the relevant region of interest to be planned and treated with image verification; and (b) all of the following apply in relation to the dosimetry: (i) the IMRT planning process is required to calculate dose to multiple‑dose level volume structures or single‑dose level volume structures (including structures moving with physiologic processes or requiring precise positioning with respect to beam edges) and requires a dose‑volume histogram to complete the planning process; (ii) based on review and assessment by a radiation oncologist, the IMRT planning process optimises the differential between target dose, organs at risk and normal tissue dose; (iii) all relevant gross tumour targets, clinical target volumes, planning target volumes, internal target volumes and organs at risk are rendered and nominated with planning dose objectives; (iv) organs at risk are nominated as planning dose constraints; (v) dose calculations and dose‑volume histograms are generated in an inverse planned process using a specialised algorithm, with prescription and plan details approved and recorded with the plan; (vi) a three‑dimensional or four‑dimensional image volume dataset is used for the relevant region to be planned and treated, with image verification for a multiple‑dose level IMRT planning or single‑dose level IMRT planning requiring motion management Applicable once per course of treatment",6255.35
15916,"Megavoltage re‑planning—level 3.2 Additional dosimetry plan for re‑planning of complex intensity modulated radiation therapy (IMRT) treatment, if: (a) an initial treatment plan described in item 15910 or 15914 has been prepared; and (b) treatment adjustments to the initial plan are inadequate to satisfy treatment protocol requirements Applicable once per course of treatment",3127.65
15918,"Megavoltage planning—level 4 Intracranial stereotactic radiation therapy (SRT) simulation and dosimetry for treatment planning, if: (a) all of the following apply in relation to the simulation: (i) treatment set‑up and technique specifications are in preparation for multiple non‑coplanar, rotational or fixed beam stereotactic delivery; (ii) precise personalised patient set‑up and immobilisation techniques are suitable for reliable imaging acquisition and reproducible SRT small‑field and ablative treatments; (iii) a high‑quality three‑dimensional image volume dataset is acquired in treatment position for the intracranial lesions to be planned and treated and verified; and (b) all of the following apply in relation to the dosimetry: (i) the planning process is required to calculate dose to single or multiple target structures and requires a dose‑volume histogram to complete the planning process; (ii) based on review and assessment by a radiation oncologist, the planning process maximises the differential between target dose, organs at risk and normal tissue dose; (iii) all relevant gross tumour volumes, clinical target volumes, planning target volumes and organs at risk are rendered and nominated with planning dose objectives; (iv) organs at risk are nominated as planning dose constraints; (v) dose calculations and dose‑volume histograms are generated using a validated stereotactic‑type algorithm, with prescription and plan details approved and recorded with the plan Applicable once per course of treatment",7013.95
15920,"Megavoltage planning—level 4 Stereotactic body radiation therapy (SBRT) simulation and dosimetry for treatment planning, if: (a) all of the following apply in relation to the simulation: (i) treatment set‑up and technique specifications are in preparation for inverse planning with multiple non‑coplanar, rotational or fixed beam stereotactic delivery or intensity modulated radiation therapy (IMRT) stereotactic delivery; (ii) personalised patient set‑up and immobilisation techniques are suitable for reliable imaging acquisition and reproducible, including techniques to minimise motion of organs at risk and targets; (iii) small‑field and ablative treatment is used; (iv) a high‑quality three‑dimensional or four‑dimensional image volume dataset is acquired in treatment position for the relevant region of interest to be planned, treated and verified (through daily planar or volumetric image guidance strategies); and (b) all of the following apply in relation to the dosimetry: (i) the planning process is required to calculate dose to single or multiple target structures and requires a dose‑volume histogram to complete the planning process; (ii) based on review and assessment by a radiation oncologist, the planning process maximises the differential between target dose, organs at risk and normal tissue dose; (iii) all relevant gross tumour volumes, clinical target volumes, planning target volumes and organs at risk are rendered and nominated with planning dose objectives; (iv) organs at risk are nominated as planning dose constraints; (v) dose calculations and dose‑volume histograms are generated using a validated stereotactic‑type algorithm, with prescription and plan details approved and recorded with the plan Applicable once per course of treatment",7013.95
15922,"Megavoltage re‑planning—level 4 Additional dosimetry plan for re‑planning of intracranial stereotactic radiation therapy (SRT) or stereotactic body radiation therapy (SBRT) treatment, if: (a) an initial treatment plan at a level that is equivalent to or higher than that described in item 15918 or 15920 has been prepared; and (b) treatment adjustments to the initial plan are inadequate to satisfy treatment protocol requirements Applicable once per course of treatment",3507.00
15924,"Megavoltage planning—level 5 Specialised radiation therapy simulation and dosimetry for treatment planning, if both of the following apply in relation to the simulation: (a) treatment set‑up and technique specifications are in preparation for a specialised case with general anaesthetic or sedation supervised by an anaesthetist; (b) a high‑quality three‑dimensional or four‑dimensional image volume dataset is acquired in treatment position for the relevant region of interest to be planned and treated with image verification Applicable once per course of treatment (Anaes.)",7403.00
15926,"Megavoltage planning—level 5 Specialised radiation therapy simulation and dosimetry for treatment planning, if: (a) all of the following apply in relation to the simulation: (i) treatment set‑up and technique specifications are in preparation for a specialised application such as total skin electron therapy (TSE) or total body irradiation (TBI); (ii) reproducible personalised patient set‑up and immobilisation techniques are suitable to implement three‑dimensional radiation therapy, intensity modulated radiation therapy (IMRT) (including multiple non‑coplanar, rotational or fixed beam treatment delivery) or a specialised total body treatment delivery method; (iii) a specialised dataset of anatomical dimensions is acquired in the treatment position for TSE or TBI; and (b) all of the following apply in relation to the dosimetry: (i) total TSE, TBI, IMRT or multiple non‑coplanar, rotational or fixed beam treatment is used; (ii) the final dosimetry plan is validated by a radiation therapist and a medical physicist, using quality assurance processes; (iii) the final dosimetry plan is approved, prior to treatment delivery, by a radiation oncologist Applicable once per course of treatment",7403.00
15928,Megavoltage re‑planning—level 5 Additional dosimetry plan for re‑planning of specialised radiation therapy if: (a) an initial treatment plan described in 15924 or 15926 has been prepared; and (b) treatment adjustments to the initial plan are inadequate to satisfy treatment protocol requirements Applicable once per course of treatment (Anaes.),3701.50
15930,"Megavoltage treatment—level 1.1 Radiation therapy for simple, single‑field treatment (including electron beam treatments), if: (a) the treatment does not use imaging for field setting; and (b) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (c) the treatment is delivered to implement a one‑dimensional plan; and (d) a two‑dimensional single‑field treatment delivery mode is utilised Applicable up to twice per plan per day",95.90
15932,"Megavoltage treatment—level 1.2 Radiation therapy and image verification for simple treatment, with imaging for field setting, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) image‑guided radiation therapy (IGRT) imaging is used to implement a two‑dimensional plan, and (c) two‑dimensional treatment is delivered; and (d) image verification decisions and actions are documented in the patient’s record Applicable up to twice per plan per day",119.45
15934,"Megavoltage treatment—level 2.1 Radiation therapy and image verification for three‑dimensional treatment, without motion management, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) image‑guided radiation therapy (IGRT) imaging is used to implement a standard three‑dimensional plan; and (c) three‑dimensional treatment is delivered; and (d) image verification decisions and actions are documented in the patient’s record Applicable up to twice per plan per day",268.90
15936,"Megavoltage treatment—level 2.2 Radiation therapy and image verification for three‑dimensional treatment, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) image‑guided radiation therapy (IGRT) imaging is used to implement a complex three‑dimensional plan; and (c) complex three‑dimensional treatment is delivered with management of motion; and (d) image decisions and actions are documented in the patient’s record Applicable up to twice per plan per day",292.50
15938,"Megavoltage treatment—level 3.1 Standard single‑dose level intensity modulated radiation therapy (IMRT) treatment and image verification, without motion management, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) image‑guided radiation therapy (IGRT) imaging is used to implement an IMRT plan described in item 15910 or 15914 Applicable up to twice per plan per day",292.50
15940,"Megavoltage treatment—level 3.2 Complex multiple‑dose level intensity modulated radiation therapy (IMRT) treatment, or single‑dose level IMRT treatment requiring motion management, and image verification, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) image‑guided radiation therapy (IGRT) imaging is used (with motion management functionality if required) to implement an IMRT plan described in item 15910 or 15914; and (c) radiation field positioning requires accurate dose delivery to the target; and (d) image decisions and actions are documented in the patient’s record Applicable up to twice per plan per day",321.75
15942,"Megavoltage treatment—level 4 Intracranial stereotactic radiation therapy treatment and image verification, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) image‑guided radiation therapy (IGRT) or minimally invasive stereotactic frame localisation is used to implement an intracranial stereotactic treatment plan at a level described in item 15918; and (c) radiation field positioning requires accurate dose delivery to the target; and (d) image decisions and actions are documented in the patient’s record Applicable once per day",829.30
15944,"Megavoltage treatment—level 4 Stereotactic body radiation therapy (SBRT) treatment and image verification, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) image‑guided radiation therapy (IGRT) is used (with motion management functionality if required) to implement a stereotactic body radiation therapy plan at a level described in item 15920; and (c) radiation field positioning requires accurate dose delivery to the target; and (d) image decisions and actions are documented in the patient’s record Applicable once per day per site, for a maximum of 2 sites",829.30
15946,"Megavoltage treatment—level 5 Specialised radiation therapy treatment and verification, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) a specialised technique is used to implement a treatment plan with general anaesthetic or sedation supervised by an anaesthetist Applicable once per plan per day",953.70
15948,"Megavoltage treatment—level 5Specialised radiation therapy treatment and verification, if: (a) the treatment is delivered using a device that is included in the Australian Register of Therapeutic Goods; and (b) a specialised technique, such as total skin electron therapy (TSE) or total body irradiation (TBI), is used to implement a treatment plan described in item 15926 Applicable up to twice per day",953.70
15950,"Kilovoltage planning Simple complexity single‑field radiation therapy simulation and dosimetry for treatment planning without imaging for field setting, if: (a) both of the following apply in relation to the simulation: (i) localisation is based on clinical mark‑up and image‑based simulation is not required; (ii) patient set‑up and immobilisation techniques are suitable for two‑dimensional radiation therapy treatment, with wide margins and allowance for movement; and (b) all of the following apply in relation to the dosimetry: (i) the planning process is required to deliver a prescribed dose to a point, either at depth or on the surface of the patient; (ii) based on review and assessment by a radiation oncologist, the planning process does not require the differential of dose between target, organs at risk and normal tissue dose; (iii) delineation of structures is not possible or required, and field borders will delineate the treatment volume; (iv) doses are calculated in reference to a point, either at depth or on the surface of the patient, from tables, charts or data from a treatment planning system Applicable once per course of treatment",214.00
15952,Delivery of kilovoltage radiation therapy (50 kV to 500 kV range) to one anatomical site (excluding orbital structures where there is placement of an internal eye shield),57.60
15954,Delivery of kilovoltage radiation therapy (50 kV to 500 kV range) to each additional anatomical site following delivery to one anatomical site treated under item 15952 (excluding orbital structures where there is placement of an internal eye shield),23.15
15956,Delivery of kilovoltage radiation therapy (50 kV to 500 kV range) to orbital structures where there is placement of an internal eye shield,70.85
15958,"Simple placement or insertion of any of the following kinds of brachytherapy device, without image guidance: (a) intracavitary vaginal cylinder, vaginal ovoids, vaginal ring or vaginal mould; (b) surface mould or applicator, with catheters fixed to or embedded into mould or applicator, on external surface of body; including the removal of applicators, catheters or needles",111.80
15960,"Complex construction and manufacture of a personalised brachytherapy applicator or mould, derived from three-dimensional image volume datasets, including the removal of applicators, catheters or needles",154.20
15962,"Complex insertion of any of the following kinds of brachytherapy device, with image guidance and if a radiation oncologist is in attendance at the initiation of the service: (a) intrauterine tubes with or without ovoids, ring or cylinder; (b) endocavity applicators; (c) intraluminal catheters for treatment of bronchus, trachea, oesophagus, nasopharynx, bile duct; (d) endovascular catheters for treatment of vessels; including the removal of applicators, catheters or needles (Anaes.)",335.30
15964,"Complex insertion and removal of hybrid intracavitary and interstitial brachytherapy applicators, or intracavitary and multi catheter applicators, with image guidance and if a radiation oncologist is in attendance at the initiation of the service (Anaes.)",447.15
15966,"Complex insertion of any of the following kinds of interstitial brachytherapy implants not requiring surgical exposure, with image guidance, and if a radiation oncologist is in attendance during the service: (a) catheters or needles for temporary implants; (b) radioactive sources for permanent implants; (c) breast applicators, single channel and multi‑channel strut devices; including the removal of applicators, catheters or needles (Anaes.)",558.85
15968,"Complex insertion of any of the following interstitial brachytherapy implants requiring surgical exposure (other than a service to which item 15900 applies), if a radiation oncologist is in attendance at the initiation of the service: (a) catheters, needles or applicators to a region requiring surgical exposure; (b) radioactive sources for permanent implants; (c) surface moulds during intraoperative brachytherapy; (d) plastic catheters or stainless steel needles, requiring surgical exposure; including implantation and removal of applicators, catheters or needles (Anaes.)",876.00
15970,"Simple level dosimetry for brachytherapy plans prescribed to surface or depth from catheter and library plans, if: (a) the planning process is required to deliver a prescribed dose to a three‑dimensional volume, and relative to a single line or multiple channel delivery applicator; and (b) the planning process does not require the differential of dose between the target, organs at risk and normal tissue dose; and (c) delineation of structures is not required; and (d) dose calculations are performed in reference to the surface or a point at depth (two‑dimensional plan) from tables, charts or data from a treatment planning system library plan",145.35
15972,Simple level dosimetry re‑planning of an initial brachytherapy plan described in item 15970 if treatment adjustments to that initial plan are inadequate to satisfy treatment protocol requirements,72.70
